# Excluded reference blocks from docs/language-ref.md.
#
# Regenerate with: go run ./cmd/refblocks -write
#
# Columns: file, first line of the block in language-ref.md, category, reason.
#
#   by-design  not a parseable compilation unit as written
#   ref-bug    valid-looking, but the reference violates a current rule;
#              see docs/UNSORTED-TRIAGE.md for the correction
#   gap        should parse but is rejected; see docs/REFBLOCK-GAPS.md
#   unsorted   newly extracted and not yet classified
#
# file	ref_line	category	reason
L7664/L7664.fol	7664	by-design	bare effect-handled call statement shown without a containing entry file or callable body
L7709/L7709.fol	7709	by-design	block elides code with "..." and is illustrative
L7724/L7724.fol	7724	by-design	bare function is an Appendix B scope-model example shown outside its required unit container
L7780/L7780.fol	7780	by-design	bare function is an Appendix B scope-model example shown outside its required unit container
L8507/L8507.fol	8507	by-design	block elides code with "..." and is illustrative
L8523/L8523.fol	8523	by-design	elided body (...) — not a complete construct
L8565/L8565.fol	8565	by-design	operator signature comparison is semantic notation rather than declarations
L8677/component.fol	8677	by-design	operator declarations require the components/operators folder context, which an extracted standalone component.fol fixture does not carry
L8759/Vector.comp.unit.fol	8759	by-design	block elides code with "..." and is illustrative
L9361/somefununit.unit.fol	9361	by-design	complete unit is followed by a source-like Usage section
L9415/someNamedParam.unit.fol	9415	by-design	complete unit is followed by a source-like Usage section
L9436/someNamedResults.unit.fol	9436	unsorted	new block that does not parse; classify by-design or gap
L9482/L9482.fol	9482	by-design	delegate declaration and usage statements are shown without their required containers
L9541/someAnonymousFun.unit.fol	9541	unsorted	new block that does not parse; classify by-design or gap
L9611/somelanbda.unit.fol	9611	by-design	call statements shown directly in a unit body, outside the function that would contain them
L9672/someClosure.unit.fol	9672	unsorted	new block that does not parse; classify by-design or gap
L9690/someInlineSignature.unit.fol	9690	unsorted	new block that does not parse; classify by-design or gap
L9799/L9799.fol	9799	by-design	block elides code with "..." and is illustrative
L9806/L9806.fol	9806	by-design	block elides code with "..." and is illustrative
L10213/types.unit.fol	10213	by-design	mixes a unit type declaration with semantic valid and invalid usage examples
L10299/SomeGenericStruct.fol	10299	by-design	block elides code with "..." and is illustrative
L10363/sometypes4.unit.fol	10363	unsorted	new block that does not parse; classify by-design or gap
L10423/sometypes5.unit.fol	10423	by-design	variable declarations and calls shown directly in a unit body, with valid/invalid markers
L10443/somematrix.unit.fol	10443	by-design	variable declarations shown directly in a unit body, with an elided initializer
L10467/somestack.unit.fol	10467	by-design	variable declarations shown directly in a unit body, with elided initializers
L10539/someIndex.unit.fol	10539	by-design	block elides code with "..." and is illustrative
L10556/sometypes6.unit.fol	10556	by-design	block elides code with "..." and is illustrative
L10733/L10733.fol	10733	by-design	declarations shown outside any container and with an explicit primary name
L10848/L10848.fol	10848	by-design	bare function is an Appendix B scope-model example shown outside its required unit container
L10857/someIdxEG1.unit.fol	10857	by-design	block presents alternative declarations or constructions and intentionally reuses example names
L10948/L10948.fol	10948	by-design	bare function is an Appendix B scope-model example shown outside its required unit container
L11004/L11004.fol	11004	by-design	bare function signatures listed as prose, not a compilation unit
L11028/L11028.fol	11028	unsorted	new or changed block shows 3 source files (MyListTypes.unit.fol, MyList.fol, MyList.comp.unit.fol); split it or classify it explicitly
L11061/L11061.fol	11061	by-design	bare generic function shown outside its required unit container
L11127/L11127.fol	11127	by-design	block elides code with "..." and is illustrative
L11136/L11136.fol	11136	by-design	block elides code with "..." and is illustrative
L11145/L11145.fol	11145	by-design	block elides code with "..." and is illustrative
L11157/L11157.fol	11157	by-design	block elides code with "..." and is illustrative
L11174/L11174.fol	11174	unsorted	new block that does not parse; classify by-design or gap
L11236/L11236.fol	11236	by-design	block elides code with "..." and is illustrative
L11260/L11260.fol	11260	by-design	block elides code with "..." and is illustrative
L11279/L11279.fol	11279	by-design	block elides code with "..." and is illustrative
L11623/L11623.fol	11623	by-design	bare function is an Appendix B scope-model example shown outside its required unit container
L11643/L11643.fol	11643	by-design	contrasts an intentionally invalid declaration with its replacement
L11664/L11664.fol	11664	by-design	contrasts an intentionally invalid declaration with its replacement
L11693/L11693.fol	11693	by-design	block shows 2 source files (Cache.fol, operations.unit.fol) and is not one compilation unit
L11723/linked_list_values.unit.fol	11723	unsorted	new block that does not parse; classify by-design or gap
L11740/employee_types.unit.fol	11740	unsorted	new block that does not parse; classify by-design or gap
L11751/sommGen1.unit.fol	11751	by-design	block elides code with "..." and is illustrative
L11776/sommGen2.unit.fol	11776	unsorted	was in parsing/ and no longer parses; reclassify or fix
L11813/sommGen7.unit.fol	11813	by-design	block elides code with "..." and is illustrative
L11827/sommGen8.unit.fol	11827	by-design	block elides code with "..." and is illustrative
L11880/box_types.unit.fol	11880	unsorted	new block that does not parse; classify by-design or gap
L11931/conversion.unit.fol	11931	by-design	block elides code with "..." and is illustrative
L11943/L11943.fol	11943	by-design	block shows 2 source files (Box.fol, Container.fol) and is not one compilation unit
L12055/L12055.fol	12055	by-design	block shows annotation-object and decorator-unit source files plus explanatory prose and is not one compilation unit
L12096/L12096.fol	12096	by-design	metadata applications are shown as syntax fragments without declarations to decorate
L12216/L12216.fol	12216	by-design	two independent macro unit source files are shown in one example
L12307/L12307.fol	12307	unsorted	new block that does not parse; classify by-design or gap
L12382/collisions.unit.fol	12382	by-design	block elides code with "..." and is illustrative
L12459/L12459.fol	12459	by-design	block elides code with "..." and is illustrative
L12605/L12605.fol	12605	by-design	bare function and use shown outside their required source containers
L12635/concurrent.unit.fol	12635	by-design	block elides code with "..." and is illustrative
L12655/L12655.fol	12655	by-design	block elides code with "..." and is illustrative
L12669/L12669.fol	12669	by-design	annotation payload is shown without a decorated declaration
L12689/L12689.fol	12689	by-design	block elides code with "..." and is illustrative
L12711/L12711.fol	12711	by-design	block elides code with "..." and is illustrative
L12744/L12744.fol	12744	by-design	block elides code with "..." and is illustrative
L12822/L12822.fol	12822	by-design	block elides code with "..." and is illustrative
L12854/L12854.fol	12854	by-design	application pool pragmas shown without a filename label; a pragma is valid only in src/appl.fol, which the synthesized block name cannot be
L13018/MySpecLoader.fol	13018	by-design	uses the deliberately unsupported co.lang.loader declaration kind
L13504/Employee.fol	13504	by-design	declaration shown beside bare statements; not one compilation unit
L13575/L13575.fol	13575	by-design	member shown outside its required container
L13689/Employee.fol	13689	by-design	prose and usage statements surround a declaration in one block
L13768/Employee.fol	13768	by-design	several declarations shown together, with valid/invalid markers
L13822/L13822.fol	13822	by-design	prose tree diagram using box-drawing characters, not source
L13884/L13884.fol	13884	by-design	bare function and use shown outside their required source containers
L13936/L13936.fol	13936	by-design	illustrative value is elided and bare function is outside its required unit
L13988/L13988.fol	13988	by-design	bare function and source-like prose are combined in one illustrative block
L14085/L14085.fol	14085	by-design	block elides code with "..." and is illustrative
L14099/L14099.fol	14099	by-design	block elides code with "..." and is illustrative
L14214/L14214.fol	14214	by-design	block elides code with "..." and is illustrative
L15050/L15050.fol	15050	by-design	bare function is an Appendix B scope-model example shown outside its required unit container
L15152/L15152.fol	15152	by-design	bare function is an Appendix B scope-model example shown outside its required unit container
L15244/L15244.fol	15244	by-design	bare function is an Appendix B scope-model example shown outside its required unit container
L15274/L15274.fol	15274	by-design	bare function is an Appendix B scope-model example shown outside its required unit container
L15301/L15301.fol	15301	by-design	bare function is an Appendix B scope-model example shown outside its required unit container
L15319/L15319.fol	15319	by-design	bare function is an Appendix B scope-model example shown outside its required unit container
L15412/L15412.fol	15412	by-design	bare function is an Appendix B scope-model example shown outside its required unit container
